brand,img
FINISH,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Finish.png
SILVO,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Silvo.png
BRASSO SOLDIERS,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Brasso.png
LYSOL,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Lysol.png
3 IN 1,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/3%20in%201.png
PLANCHYTEX,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Planchytex.png
EASY OFF,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Easy%20Off.png
AIRWICK,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Air%20Wick%20Logo%20Referencia%20Baja.png
VANISH,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Vanish.png
HARPIC,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Harpic.png
BRASSO,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Brasso%20MPC.png
NUGGET,https://rbcom-my.sharepoint.com/personal/ivan_alducin_reckitt_com/Documents/Ivan%20Alducin/Pictures/ICONS/Brands/Nugget.png
TEST,https://mir-s3-cdn-cf.behance.net/projects/404/26170c30711691.Y3JvcCw0MDQsMzE2LDUsMjc.png
